Word: i am going to the store, GIF Found: True, Feedback: Good
Word: i am going to the store, GIF Found: True, Feedback: Bad
Word: hello, GIF Found: True, Feedback: Good
Word: hello, GIF Found: True, Feedback: Bad
Word: hello, GIF Found: True, Feedback: Bad
Word: hello, GIF Found: True, Feedback: Good
Word: hello, GIF Found: True, Feedback: Good
Word: good morning, GIF Found: True, Feedback: Good
Word: good morning, GIF Found: True, Feedback: Bad
Word: hello, GIF Found: True, Feedback: Good
Word: hello, GIF Found: True, Feedback: Bad
Word: sign language interpreter, GIF Found: True, Score: 90, Feedback: Good
Word: where is the police station, GIF Found: True, Score: 100, Feedback: Good
Word: where is the police station, GIF Found: True, Score: 100, Feedback: Good
Word: where is the police station, GIF Found: True, Score: 100, Feedback: Good
Word: where is the police station, GIF Found: True, Score: 100, Feedback: Good
Word: where is the police station, GIF Found: True, Score: 100, Feedback: Good
Word: where is the police station, GIF Found: True, Score: 100, Feedback: Good
Word: where is the police station, GIF Found: True, Score: 100, Feedback: Good
Word: playstation, GIF Found: False, Score: None, Feedback: Good
Word: i am fine, GIF Found: True, Score: 86, Feedback: Bad
Word: i am fine, GIF Found: True, Score: 86, Feedback: Bad
Word: i am fine, GIF Found: True, Score: 86, Feedback: Bad
Word: good morning, GIF Found: True, Score: 100, Feedback: Good
Word: good morning, GIF Found: True, Score: 100, Feedback: Good
Word: good morning, GIF Found: True, Score: 100, Feedback: Good
Word: good morning, GIF Found: True, Score: 100, Feedback: Good
Word: good morning, GIF Found: True, Score: 100, Feedback: Good
Word: good morning, GIF Found: True, Score: 100, Feedback: Good
Word: good morning, GIF Found: True, Score: 100, Feedback: Good
Word: good morning, GIF Found: True, Score: 100, Feedback: Good
Word: good morning, GIF Found: True, Score: 100, Feedback: Good
Word: good morning, GIF Found: True, Feedback: Good, Score: 100
Word: good morning, GIF Found: True, Feedback: Good, Score: 100
Word: good morning, GIF Found: True, Feedback: Good, Score: 100
Word: i need some help, GIF Found: True, Feedback: Good, Score: 100
Word: i need some help, GIF Found: True, Feedback: Good, Score: 100
Word: i need some help, GIF Found: True, Feedback: Good, Score: 100
Word: i need some help, GIF Found: True, Feedback: Good, Score: 100
Word: i need some help, GIF Found: True, Feedback: Good, Score: 100
Word: i need some help, GIF Found: True, Feedback: Good, Score: 100
Word: i need some help, GIF Found: True, Feedback: Good, Score: 100
Word: i need some help, GIF Found: True, Feedback: Good, Score: 100
Word: i need some help, GIF Found: True, Feedback: Good, Score: 100
Word: i need some help, GIF Found: True, Feedback: Good, Score: 100
Word: any questions, GIF Found: True, Feedback: Good, Score: 90
Word: any questions, GIF Found: True, Feedback: Good, Score: 90
Word: any questions, GIF Found: True, Feedback: Good, Score: 90
Word: any questions, GIF Found: True, Feedback: Good, Score: 90
Word: any questions, GIF Found: True, Feedback: Good, Score: 90
Word: any questions, GIF Found: True, Feedback: Bad, Score: 90
Word: take care, GIF Found: True, Feedback: Good, Score: 100
Word: take care, GIF Found: True, Feedback: Good, Score: 100
Word: take care, GIF Found: True, Feedback: Good, Score: 100
Word: take care, GIF Found: True, Feedback: Good, Score: 100
Word: take care, GIF Found: True, Feedback: Good, Score: 100
Word: tuesday, GIF Found: True, Feedback: Good, Score: 100
Word: tuesday, GIF Found: True, Feedback: Good, Score: 100
Word: tuesday, GIF Found: True, Feedback: Good, Score: 100
Word: where can i find, GIF Found: True, Feedback: Good, Score: 90
Word: where can i find, GIF Found: True, Feedback: Good, Score: 90
Word: where can i find, GIF Found: True, Feedback: Good, Score: 90
Word: you are wrong, GIF Found: True, Feedback: Good, Score: 100
Word: you are wrong, GIF Found: True, Feedback: Good, Score: 100
Word: you are wrong, GIF Found: True, Feedback: Good, Score: 100
Word: you are wrong, GIF Found: True, Feedback: Good, Score: 100
Word: hello, GIF Found: True, Feedback: Good, Score: 100
Word: good morning, GIF Found: True, Feedback: Good, Score: 100
Word: you are wrong, GIF Found: True, Feedback: Good, Score: 100
Word: december, GIF Found: True, Feedback: Good
Word: december, GIF Found: True, Feedback: Bad
Word: december, GIF Found: True, Feedback: Good
Word: december, GIF Found: True, Feedback: Bad
Word: hello, GIF Found: True, Feedback: Good
Word: hello, GIF Found: True, Feedback: Bad
Word: do you want to join to me, GIF Found: True, Feedback: Good, Score: 90
Word: do you want to join to me, GIF Found: True, Feedback: Good, Score: 90
Word: how was your day, GIF Found: True, Feedback: Good, Score: 100
Word: how was your day, GIF Found: True, Feedback: Good, Score: 100
Word: i will keep you updated on the progress, GIF Found: True, Feedback: Good, Score: 95
Word: i will keep you updated on the progress, GIF Found: True, Feedback: Good, Score: 95
Word: i will keep you updated on the progress, GIF Found: True, Feedback: Good, Score: 95
Word: can i help you, GIF Found: True, Feedback: Good, Score: 87
Word: hello, GIF Found: True, Feedback: Good, Score: 90
Word: hello, GIF Found: True, Feedback: Bad, Score: 90
Word: greetings, GIF Found: True, Feedback: Good, Score: 100
Word: social interaction, GIF Found: True, Feedback: Good, Score: 100
Word: please let me know if you have any questions, GIF Found: True, Feedback: Good, Score: 95
Word: sit down, GIF Found: True, Feedback: Good, Score: 90
Word: sit down, GIF Found: True, Feedback: Good, Score: 90
Word: hello, GIF Found: True, Feedback: Good, Score: 100
Word: hello, GIF Found: True, Feedback: Good, Score: 100
Word: hello, GIF Found: True, Feedback: Bad, Score: 100
